#{"t_start": 1626358340.285623, "env_id": "CartPole-v0"}
r,l,t
18.0,18,0.96265
36.0,36,0.965522
46.0,46,0.970645
15.0,15,0.971926
16.0,16,0.973248
16.0,16,0.974476
25.0,25,0.976422
31.0,31,0.978781
24.0,24,0.980622
13.0,13,0.981651
20.0,20,0.983279
32.0,32,0.985987
13.0,13,0.98773
14.0,14,0.989364
18.0,18,0.990856
13.0,13,0.99188
18.0,18,0.993282
27.0,27,0.99536
40.0,40,0.998543
25.0,25,1.001628
12.0,12,1.002681
18.0,18,1.004004
58.0,58,1.008209
17.0,17,1.009776
15.0,15,1.010869
32.0,32,1.013142
9.0,9,1.013855
39.0,39,1.017665
12.0,12,1.018945
14.0,14,1.020024
35.0,35,1.022492
26.0,26,1.024338
25.0,25,1.026212
48.0,48,1.029433
18.0,18,1.030808
22.0,22,1.032374
19.0,19,1.033789
14.0,14,1.034892
9.0,9,1.035669
14.0,14,1.036712
47.0,47,1.03996
38.0,38,1.042567
21.0,21,1.043998
18.0,18,1.045449
41.0,41,1.048565
17.0,17,1.049856
57.0,57,1.053809
20.0,20,1.055388
45.0,45,1.058386
60.0,60,1.062537
79.0,79,1.068459
13.0,13,1.069531
10.0,10,1.070376
14.0,14,1.071408
47.0,47,1.074521
25.0,25,1.076231
19.0,19,1.077526
38.0,38,1.080323
16.0,16,1.081574
27.0,27,1.083665
37.0,37,1.086607
14.0,14,1.087745
11.0,11,1.088595
29.0,29,1.090702
24.0,24,1.092707
19.0,19,1.094202
15.0,15,1.095301
29.0,29,1.097353
13.0,13,1.098355
25.0,25,1.10022
20.0,20,1.102038
17.0,17,1.103363
16.0,16,1.104686
15.0,15,1.105942
20.0,20,1.10739
49.0,49,1.11081
23.0,23,1.112411
19.0,19,1.113765
22.0,22,1.115442
24.0,24,1.117851
15.0,15,1.118993
15.0,15,1.120187
27.0,27,1.122159
36.0,36,1.124747
20.0,20,1.126165
17.0,17,1.127344
20.0,20,1.128921
11.0,11,1.12974
42.0,42,1.13344
11.0,11,1.1346
20.0,20,1.136123
36.0,36,1.138755
27.0,27,1.1406
11.0,11,1.141383
15.0,15,1.14245
15.0,15,1.143502
21.0,21,1.144915
14.0,14,1.145871
21.0,21,1.147354
27.0,27,1.149539
42.0,42,1.15318
35.0,35,1.155816
17.0,17,1.157065
46.0,46,1.160285
52.0,52,1.163759
26.0,26,1.165653
28.0,28,1.168222
62.0,62,1.172797
17.0,17,1.174141
13.0,13,1.175117
11.0,11,1.175903
10.0,10,1.176637
22.0,22,1.178179
43.0,43,1.181117
42.0,42,1.185198
23.0,23,1.187454
18.0,18,1.188849
14.0,14,1.190021
84.0,84,1.196054
26.0,26,1.198114
29.0,29,1.200291
50.0,50,1.204046
38.0,38,1.207047
11.0,11,1.207991
13.0,13,1.209022
37.0,37,1.211867
11.0,11,1.212711
25.0,25,1.214611
26.0,26,1.216603
19.0,19,1.218294
21.0,21,1.22004
16.0,16,1.221354
29.0,29,1.224054
16.0,16,1.225447
42.0,42,1.228711
11.0,11,1.229731
12.0,12,1.230781
19.0,19,1.232484
23.0,23,1.234442
18.0,18,1.23592
12.0,12,1.237022
16.0,16,1.238404
35.0,35,1.241139
41.0,41,1.244281
30.0,30,1.246624
19.0,19,1.248034
14.0,14,1.249116
28.0,28,1.251251
11.0,11,1.25214
14.0,14,1.253264
27.0,27,1.255386
24.0,24,1.25719
52.0,52,1.260903
17.0,17,1.262172
18.0,18,1.263479
27.0,27,1.265442
18.0,18,1.266761
20.0,20,1.268365
12.0,12,1.269359
28.0,28,1.271603
30.0,30,1.273942
20.0,20,1.275466
17.0,17,1.276827
22.0,22,1.278492
27.0,27,1.280597
52.0,52,1.285598
14.0,14,1.286854
14.0,14,1.287983
14.0,14,1.289828
25.0,25,1.291919
20.0,20,1.293441
25.0,25,1.295262
30.0,30,1.297525
18.0,18,1.298865
17.0,17,1.300656
25.0,25,1.303117
18.0,18,1.304589
15.0,15,1.306387
15.0,15,1.307583
28.0,28,1.309641
15.0,15,1.310831
14.0,14,1.311859
24.0,24,1.313642
17.0,17,1.314979
29.0,29,1.317111
19.0,19,1.318728
10.0,10,1.320117
21.0,21,1.321696
15.0,15,1.322847
41.0,41,1.325841
23.0,23,1.327484
54.0,54,1.331319
13.0,13,1.332285
33.0,33,1.335217
13.0,13,1.33643
13.0,13,1.337409
15.0,15,1.338522
11.0,11,1.339326
28.0,28,1.341291
32.0,32,1.343505
18.0,18,1.344847
22.0,22,1.346393
22.0,22,1.348078
39.0,39,1.351506
29.0,29,1.353974
26.0,26,1.355798
56.0,56,1.359551
13.0,13,1.360512
35.0,35,1.362943
25.0,25,1.36491
24.0,24,1.367005
19.0,19,1.369079
51.0,51,1.372816
80.0,80,1.378518
34.0,34,1.38098
33.0,33,1.384028
72.0,72,1.390254
10.0,10,1.391071
11.0,11,1.391875
48.0,48,1.395143
31.0,31,1.397251
33.0,33,1.399886
14.0,14,1.401367
18.0,18,1.403087
17.0,17,1.404315
35.0,35,1.406909
17.0,17,1.408081
12.0,12,1.409098
15.0,15,1.410306
30.0,30,1.412385
35.0,35,1.415358
13.0,13,1.416598
33.0,33,1.419852
10.0,10,1.420617
21.0,21,1.422209
26.0,26,1.424124
19.0,19,1.425574
23.0,23,1.427198
26.0,26,1.4291
53.0,53,1.433724
33.0,33,1.437025
33.0,33,1.439399
52.0,52,1.442954
23.0,23,1.4446
37.0,37,1.447257
33.0,33,1.450018
17.0,17,1.451702
15.0,15,1.453339
30.0,30,1.455428
13.0,13,1.456387
13.0,13,1.457498
41.0,41,1.460334
77.0,77,1.465763
19.0,19,1.46737
23.0,23,1.469733
16.0,16,1.471252
37.0,37,1.473743
23.0,23,1.475407
69.0,69,1.480085
10.0,10,1.480986
27.0,27,1.483357
12.0,12,1.484737
19.0,19,1.486528
