#{"t_start": 1627059750.1729228, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,236,1013.213108
2.0,204,1014.762758
1.0,171,1016.052766
0.0,122,1017.000298
1.0,166,1018.29744
0.0,134,1019.345725
0.0,135,1020.416986
1.0,179,1021.767174
2.0,220,1023.465753
1.0,163,1024.739393
2.0,227,1026.478492
1.0,182,1027.890723
0.0,139,1028.983283
3.0,227,1030.761802
1.0,174,1032.072926
1.0,175,1033.429426
0.0,127,1034.431963
2.0,210,1036.02862
2.0,183,1037.447343
0.0,129,1038.433577
2.0,196,1039.946711
4.0,292,1042.216018
3.0,255,1044.140779
0.0,129,1045.12633
2.0,213,1046.758158
2.0,238,1048.602784
3.0,278,1050.827017
5.0,352,1053.497856
1.0,174,1054.811609
1.0,177,1056.170405
1.0,158,1057.405757
0.0,136,1058.444513
3.0,230,1060.206725
0.0,131,1061.218668
2.0,191,1062.686645
1.0,166,1063.984072
2.0,226,1065.761942
0.0,142,1066.85359
1.0,150,1068.022815
1.0,152,1069.217541
0.0,140,1070.285064
2.0,190,1071.772356
1.0,156,1072.99714
0.0,128,1073.991374
0.0,129,1075.024936
0.0,123,1075.971874
0.0,131,1076.988187
1.0,174,1078.36633
1.0,157,1079.578559
2.0,201,1081.120054
1.0,179,1082.492808
1.0,177,1083.829719
0.0,130,1084.871697
1.0,172,1086.240324
0.0,138,1087.303825
7.0,416,1090.555135
0.0,127,1091.546736
5.0,341,1094.214751
4.0,302,1096.570016
2.0,203,1098.147708
3.0,258,1100.214962
0.0,139,1101.324182
4.0,316,1103.757597
2.0,222,1105.41883
2.0,182,1106.860797
2.0,204,1108.448769
3.0,267,1110.550703
2.0,208,1112.65495
1.0,150,1113.798867
0.0,127,1114.78105
2.0,205,1116.287449
0.0,135,1117.298523
0.0,126,1118.219834
4.0,297,1120.447776
0.0,122,1121.383548
4.0,295,1123.609461
0.0,132,1124.604435
2.0,217,1126.209887
6.0,380,1129.033802
1.0,161,1130.243176
1.0,152,1131.407999
3.0,221,1133.042884
4.0,304,1135.279265
0.0,131,1136.264293
0.0,125,1137.208988
3.0,247,1139.065896
2.0,208,1140.619524
2.0,193,1142.052905
1.0,158,1143.250349
2.0,196,1144.715646
0.0,127,1145.685636
2.0,206,1147.224993
3.0,234,1148.983247
0.0,126,1149.941561
0.0,132,1150.938251
0.0,129,1151.906141
0.0,122,1152.84106
1.0,172,1154.1445
2.0,181,1155.509686
1.0,173,1156.792314
1.0,170,1158.095142
3.0,285,1160.19674
0.0,124,1161.123351
0.0,129,1162.084061
2.0,196,1163.555812
2.0,196,1164.983596
1.0,158,1166.19808
3.0,259,1168.122707
1.0,171,1169.392583
0.0,120,1170.317632
1.0,181,1171.719251
2.0,187,1173.135521
1.0,168,1174.389869
0.0,144,1175.473802
0.0,127,1176.455391
2.0,225,1178.14274
0.0,130,1179.145063
3.0,235,1180.948627
3.0,258,1182.898016
1.0,169,1184.178185
5.0,299,1186.401007
1.0,180,1187.750278
2.0,191,1189.199018
0.0,126,1190.116122
0.0,125,1191.046325
1.0,169,1192.321038
2.0,199,1193.827591
2.0,241,1195.622962
3.0,233,1197.376912
2.0,204,1198.913637
0.0,141,1199.95805
0.0,122,1200.867947
3.0,219,1202.49425
0.0,130,1203.45899
3.0,214,1205.07368
0.0,129,1206.022684
1.0,175,1207.361507
2.0,221,1209.038544
5.0,320,1211.459452
0.0,125,1212.410832
1.0,156,1213.588582
1.0,178,1214.920766
0.0,132,1215.914948
2.0,224,1217.574087
2.0,202,1219.040036
2.0,228,1220.793116
1.0,150,1221.925275
3.0,251,1223.760996
3.0,259,1225.699032
2.0,203,1227.21117
0.0,137,1228.239717
2.0,205,1229.774847
2.0,230,1231.518397
3.0,271,1233.553383
0.0,122,1234.463075
3.0,258,1236.402804
1.0,166,1237.631566
0.0,129,1238.599356
0.0,127,1239.546175
0.0,129,1240.51538
5.0,347,1243.116173
1.0,173,1244.391967
1.0,179,1245.78628
2.0,226,1247.528576
4.0,294,1249.71763
0.0,130,1250.673005
3.0,258,1252.555175
2.0,247,1254.391815
2.0,224,1256.075252
1.0,165,1257.322048
1.0,156,1258.54968
3.0,255,1260.41906
1.0,152,1261.578999
0.0,133,1262.570264
0.0,125,1263.511199
1.0,173,1264.851271
0.0,120,1265.783797
3.0,248,1267.651552
2.0,201,1269.1338
4.0,267,1271.087151
3.0,236,1272.868961
1.0,176,1274.181378
0.0,131,1275.143707
0.0,129,1276.125649
2.0,220,1277.761942
4.0,325,1280.168876
2.0,231,1281.86637
1.0,155,1282.97485
1.0,155,1284.130693
2.0,204,1285.662703
3.0,243,1287.513514
2.0,217,1289.143158
2.0,192,1290.590264
1.0,160,1291.746819
4.0,305,1294.033534
0.0,126,1295.007987
1.0,169,1296.243112
1.0,178,1297.576843
2.0,197,1299.056695
2.0,217,1300.672218
4.0,331,1303.172302
1.0,180,1304.560935
1.0,179,1305.926927
0.0,124,1306.858363
1.0,176,1308.141865
0.0,127,1309.090604
2.0,198,1310.561619
1.0,190,1311.937214
4.0,278,1314.00646
1.0,177,1315.287338
5.0,355,1317.982163
2.0,203,1319.485194
1.0,157,1320.62892
1.0,153,1321.745049
0.0,128,1322.701989
2.0,187,1324.093938
4.0,297,1326.420254
0.0,131,1327.42496
2.0,221,1329.08505
3.0,258,1331.155237
1.0,155,1332.299874
2.0,202,1333.869965
0.0,132,1334.880262
5.0,376,1337.705002
4.0,255,1339.73545
1.0,167,1341.039256
0.0,127,1342.094268
1.0,175,1343.50354
0.0,122,1344.454698
2.0,201,1346.062188
1.0,155,1347.290478
0.0,130,1348.328967
3.0,253,1350.39412
1.0,158,1351.654123
0.0,128,1352.676909
1.0,178,1354.05814
1.0,169,1355.361388
0.0,129,1356.443568
4.0,286,1358.719308
1.0,154,1359.970093
0.0,131,1361.01602
2.0,203,1362.631268
4.0,279,1364.86457
2.0,188,1366.357717
3.0,272,1368.511694
4.0,303,1370.860791
3.0,249,1372.819051
2.0,205,1374.494734
1.0,178,1375.91388
1.0,156,1377.153989
0.0,130,1378.147716
3.0,233,1379.957408
3.0,239,1381.862729
3.0,228,1383.672677
3.0,254,1385.747238
0.0,133,1386.819054
4.0,282,1389.009238
3.0,218,1390.737911
4.0,327,1393.34296
2.0,196,1394.913983
0.0,132,1395.952493
0.0,132,1396.983646
2.0,205,1398.582022
0.0,136,1399.622367
1.0,156,1400.856168
1.0,180,1402.334352
1.0,155,1403.565561
3.0,234,1405.414436
0.0,131,1406.467273
2.0,229,1408.247457
5.0,320,1410.798934
0.0,136,1411.851882
2.0,215,1413.609221
3.0,232,1415.417354
1.0,182,1416.857481
3.0,234,1418.707075
2.0,205,1420.319461
0.0,124,1421.336807
2.0,232,1423.161321
0.0,137,1424.222735
1.0,164,1425.507252
3.0,270,1427.665004
0.0,123,1428.658255
2.0,191,1430.171404
2.0,197,1431.751044
5.0,351,1434.48337
5.0,343,1437.256216
2.0,215,1438.981216
2.0,188,1440.488104
3.0,251,1442.492005
2.0,185,1443.977918
2.0,200,1445.592464
2.0,199,1447.173428
2.0,185,1448.667243
2.0,197,1450.212289
1.0,152,1451.391484
3.0,254,1453.488945
6.0,343,1456.140871
2.0,230,1458.00467
1.0,168,1459.377419
2.0,210,1461.060783
4.0,304,1463.435036
2.0,215,1465.115805
2.0,227,1466.956461
2.0,203,1468.584948
4.0,295,1470.919287
1.0,167,1472.238619
3.0,245,1474.187386
1.0,156,1475.432646
0.0,123,1476.439531
0.0,129,1477.464839
2.0,195,1479.085059
2.0,229,1480.903236
3.0,229,1482.740192
2.0,203,1484.319693
1.0,160,1485.634245
5.0,333,1488.293232
3.0,228,1490.095573
2.0,221,1491.870477
2.0,222,1493.666313
4.0,336,1496.334242
2.0,226,1498.633453
1.0,157,1499.873906
2.0,209,1501.589124
1.0,170,1502.971383
2.0,199,1504.550251
2.0,209,1506.177387
2.0,191,1507.689024
5.0,326,1510.231981
2.0,195,1511.837004
2.0,205,1513.496634
0.0,134,1514.587843
4.0,268,1516.745678
4.0,307,1519.196759
1.0,153,1520.418983
1.0,167,1521.733196
2.0,183,1523.223736
1.0,154,1524.463188
5.0,379,1527.478024
1.0,171,1528.859671
2.0,197,1530.432041
0.0,128,1531.479458
1.0,157,1532.757114
3.0,226,1534.568728
1.0,149,1535.740017
2.0,229,1537.605906
0.0,126,1538.636223
4.0,304,1541.093739
3.0,238,1543.032228
2.0,190,1544.548733
0.0,137,1545.623815
2.0,207,1547.288491
6.0,359,1550.164788
3.0,270,1552.345224
3.0,229,1554.235096
3.0,273,1556.444398
4.0,281,1558.668253
4.0,258,1560.763243
0.0,123,1561.756705
1.0,174,1563.138648
2.0,208,1564.825748
2.0,196,1566.362789
4.0,293,1568.710996
1.0,154,1569.944613
4.0,286,1572.212878
1.0,149,1573.394245
4.0,287,1575.645877
1.0,151,1576.870312
3.0,251,1578.912062
4.0,275,1581.093506
2.0,179,1582.557533
5.0,354,1585.410067
1.0,153,1586.656303
2.0,205,1588.319843
1.0,160,1589.602523
4.0,296,1591.98557
3.0,231,1593.845398
3.0,259,1595.944601
0.0,122,1596.903872
3.0,233,1598.803907
2.0,203,1600.47665
2.0,203,1602.122913
5.0,330,1604.820898
3.0,251,1606.851609
4.0,336,1609.533508
2.0,199,1611.156446
2.0,185,1612.637698
3.0,231,1614.539473
4.0,301,1616.989106
2.0,202,1618.603178
1.0,150,1619.783412
1.0,175,1621.179445
1.0,150,1622.368531
1.0,182,1623.87008
5.0,321,1626.487184
3.0,258,1628.570489
4.0,321,1631.169561
2.0,188,1632.705518
1.0,166,1634.024862
0.0,127,1635.052686
2.0,193,1636.590264
1.0,172,1637.974756
2.0,183,1639.473322
4.0,309,1641.977061
6.0,395,1645.19408
4.0,295,1647.609777
6.0,367,1650.606414
3.0,237,1652.49028
2.0,197,1654.056136
3.0,241,1655.97371
2.0,179,1657.464552
5.0,365,1660.419765
3.0,211,1662.141165
3.0,250,1664.186929
2.0,196,1665.775284
4.0,310,1668.253685
3.0,250,1670.280172
4.0,294,1672.601861
4.0,327,1675.268396
1.0,192,1676.825201
7.0,388,1679.947612
3.0,239,1681.895072
3.0,233,1683.766664
7.0,445,1687.330774
2.0,232,1689.203497
4.0,278,1691.491728
0.0,122,1692.457427
4.0,326,1695.0927
2.0,221,1696.877246
3.0,263,1699.020591
1.0,157,1700.287554
5.0,329,1702.960692
2.0,209,1704.644833
3.0,274,1706.905313
6.0,380,1709.96353
5.0,329,1712.583359
2.0,185,1714.067631
1.0,184,1715.569597
5.0,354,1718.430953
1.0,178,1719.872366
4.0,261,1722.03262
1.0,162,1723.340667
7.0,435,1726.868917
1.0,168,1728.280777
2.0,201,1729.899281
2.0,181,1731.354371
0.0,130,1732.415489
1.0,171,1733.824728
2.0,200,1735.476052
2.0,227,1737.284595
2.0,204,1738.907736
1.0,172,1740.282046
2.0,204,1742.00188
4.0,300,1744.50614
0.0,129,1745.592864
1.0,156,1746.851926
1.0,158,1748.122813
6.0,372,1751.118483
3.0,265,1753.222395
0.0,126,1754.252561
2.0,223,1756.038953
3.0,283,1758.266884
0.0,130,1759.305113
2.0,198,1760.890003
5.0,330,1763.549253
3.0,240,1765.518027
6.0,406,1768.751436
3.0,251,1770.793052
4.0,280,1773.058413
1.0,173,1774.4837
2.0,198,1776.0915
5.0,375,1779.134375
6.0,380,1782.22411
2.0,181,1783.708893
5.0,326,1786.310945
3.0,246,1788.338323
1.0,175,1789.733661
3.0,237,1791.615781
5.0,345,1794.400337
9.0,492,1798.393618
