#{"t_start": 1626357090.0719523, "env_id": "Taxi-v3"}
r,l,t
1,20,31.850997
7,14,31.851876
4,17,31.852656
0,12,31.853166
-1,13,31.853772
5,16,31.854428
9,12,31.854892
-6,18,31.855597
14,7,31.855874
6,15,31.856439
7,14,31.856942
-1,13,31.857459
7,14,31.857967
-2,14,31.85871
1,20,31.859554
0,12,31.860237
5,16,31.86091
0,21,31.86168
-14,17,31.862353
-5,17,31.863248
4,17,31.864002
-4,16,31.864827
9,12,31.865563
12,9,31.866062
-5,17,31.866803
-8,20,31.867672
8,13,31.868284
-13,16,31.869045
-11,23,31.8701
11,10,31.87063
-7,19,31.871467
-3,15,31.872165
12,9,31.872741
4,17,31.873486
-3,15,31.874175
-6,18,31.874954
9,12,31.875525
1,20,31.876386
1,20,31.877223
-7,19,31.878063
2,10,31.878638
-36,21,31.879531
0,21,31.880481
3,9,31.881061
-22,25,31.88204
10,11,31.882463
7,14,31.88297
7,14,31.883466
9,12,31.883955
5,16,31.884529
-8,20,31.885241
8,13,31.885728
9,12,31.886152
4,17,31.886724
3,18,31.887352
-2,23,31.888136
8,13,31.88859
6,15,31.889114
7,14,31.889628
-11,23,31.890448
6,15,31.890977
5,16,31.891528
8,13,31.891981
5,16,31.892514
-14,17,31.893096
10,11,31.89347
3,18,31.894082
3,18,31.8947
-8,20,31.895522
11,10,31.895909
10,11,31.896298
4,17,31.896886
9,12,31.897296
10,11,31.897678
-5,17,31.898253
-32,26,31.899168
-34,19,31.899847
8,13,31.900322
-6,18,31.900922
7,14,31.901434
0,12,31.901875
3,18,31.902461
1,20,31.903109
9,12,31.903508
-16,19,31.904148
9,12,31.904542
11,10,31.904892
5,16,31.905443
-5,17,31.906232
5,16,31.906887
8,13,31.907372
-2,14,31.907884
0,21,31.908568
-3,15,31.909066
12,9,31.909406
11,10,31.909748
-3,15,31.910269
-5,17,31.910833
10,11,31.911217
-3,15,31.911892
-9,21,31.912698
7,14,31.91328
3,18,31.913964
11,10,31.914346
5,16,31.915094
-17,20,31.915901
-12,15,31.916682
13,8,31.917002
12,9,31.91735
5,16,31.9179
-13,16,31.918435
-2,14,31.918908
0,12,31.919317
-12,15,31.919853
-27,21,31.920554
7,14,31.921018
7,14,31.921507
1,20,31.922148
-2,14,31.922598
8,13,31.923039
14,7,31.923313
-3,15,31.923843
